Aserbaidschanisch,Deutsch,Aussprache,Wortart,Thema
Necəsiz?,Wie geht es Ihnen?,nɛd͡ʒɛsiz?,Frage,Smalltalk
Salam,Hallo,sɑˈlɑm,Gruß,Smalltalk
Necə gün keçirirsiniz?,Wie verbringen Sie den Tag?,nɛd͡ʒə gyːn kɛt͡ʃirirsiniz?,Frage,Smalltalk
Bugün hava necədir?,Wie ist das Wetter heute?,buɡʏn hɑvɑ nɛd͡ʒɛdir?,Frage,Smalltalk
Nə işlə məşğulsunuz?,Was machen Sie beruflich?,nɛ iʃlæ mæʃɡulsunuz?,Frage,Smalltalk
Harada yaşayırsınız?,Wo wohnen Sie?,hɑrɑdɑ jɑʃɑjɯrsɯnɯz?,Frage,Smalltalk
Bu gün necədir?,Wie ist es heute?,bu ɡʏn nɛd͡ʒɛdir?,Frage,Smalltalk
Yaxşı, yaxşı, danke!,Joa, danke!,jɑxʃɯ jɑxʃɯ dɑnkɛ!,Antwort,Smalltalk
İşlər necə gedir?,Wie laufen die Dinge?,iʃlær nɛd͡ʒə ɡɛdir?,Frage,Smalltalk
Bütün gün işlədim.,Ich habe den ganzen Tag gearbeitet.,bytyn gyʏn iʃlædɪm.,Aussage,Smalltalk
Siz nəsə bilirsiniz?,Was wissen Sie?,sɪz nɛsæ bɪlɪrsɪnɪz?,Frage,Smalltalk
Çox yorulmuşam.,Ich bin sehr müde.,t͡ʃɒχ jɔrulmuʃam.,Aussage,Smalltalk
